Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-5.6485451076391E-06,6.03997626400469E-06,2.05175063346715E-05,0,0,0,3.19343663145282E-11,1.24711139664769E-20,7.42950023163628E-24,5.88640924069087E-24,1.2348284600344E-20,1.20366607892645E-24,2.45159569221095E-20,0,0,0,0,0,0,package://palm1/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://palm1/meshes/base_link.STL,,ATI_leap_hand1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
palm_Link,-3.18276843813692E-05,-6.55628256822638E-05,3.1028199151071E-05,0,0,0,9.71232661681929E-13,8.41900413941212E-23,2.53363645294033E-26,-1.10409664574448E-25,8.41895371604218E-23,7.23039495175192E-27,2.53544897622052E-24,0,0,0,0,0,0,package://palm1/meshes/palm_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://palm1/meshes/palm_Link.STL,,palm_lower-1,Origin_palm_joint,,palm_joint,fixed,3.1828E-05,3.1028E-05,6.5563E-05,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
